Nama,Deskripsi,Path Folder, Path Gambar,processed_nama,processed_deskripsi
Batik Bali,"Batik Bali memiliki motif rumit yang terinspirasi oleh bunga, daun, dan simbol budaya Hindu Bali. Melambangkan harmoni antara manusia, alam, dan spiritualitas, batik ini terkenal dengan warna cerahnya yang khas dari Pulau Bali.",batik-bali,batik-bali.jpg,batik bal,batik bal milik motif rumit inspirasi bunga  daun  simbol budaya hindu bal  melambang harmoni manusia  alam  spiritualitas  batik kenal warna cerah khas pulau bal 
Batik Betawi,"Batik Betawi memiliki motif geometris sederhana dengan warna cerah, menampilkan pola khas seperti ondel-ondel dan tanjidor. Melambangkan semangat dan keberagaman budaya, batik ini berasal dari Jakarta.",batik-betawi,batik-betawi.jpg,batik betawi,batik betawi milik motif geometris sederhana warna cerah  tampil pola khas ondel-ondel tanjidor  melambang semangat agam budaya  batik asal jakarta 
Batik Celup,"Batik Celup memiliki pola abstrak dengan gradasi warna cerah yang dihasilkan melalui teknik pencelupan. Melambangkan kebebasan dan kreativitas, batik ini mencerminkan ekspresi seni modern Indonesia.",batik-celup,batik-celup.jpg,batik celup,batik celup milik pola abstrak gradasi warna cerah hasil teknik celup  melambang bebas kreativitas  batik cermin ekspresi seni modern indonesia 
Batik Cendrawasih,"Batik Cendrawasih menampilkan motif burung cendrawasih yang elegan dengan kombinasi pola bunga dan warna cerah. Melambangkan keindahan dan kemewahan, batik ini mencerminkan kebanggaan budaya Papua.",batik-cendrawasih,batik-cendrawasih.jpg,batik cendrawasih,batik cendrawasih tampil motif burung cendrawasih elegan kombinasi pola bunga warna cerah  melambang indah mewah  batik cermin bangga budaya papua 
Batik Ceplok,"Batik Ceplok memiliki pola geometris berulang seperti lingkaran dan bunga kecil dengan warna klasik. Melambangkan keseimbangan dan harmoni, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-ceplok,batik-ceplok.jpg,batik ceplok,batik ceplok milik pola geometris ulang lingkar bunga warna klasik  melambang imbang harmoni  batik waris budaya jawa 
Batik Ciamis,"Batik Ciamis memiliki motif sederhana dengan pola bunga kecil atau garis melengkung, didominasi warna pastel seperti cokelat muda. Melambangkan kesederhanaan dan keharmonisan, batik ini berasal dari Ciamis, Jawa Barat.",batik-ciamis,batik-ciamis.jpg,batik ciamis,batik ciamis milik motif sederhana pola bunga garis lengkung  dominasi warna pastel cokelat muda  melambang sederhana harmonis  batik asal ciamis  jawa barat 
Batik Garutan,"Batik Garutan memiliki motif bunga, daun, atau burung dengan warna cerah seperti merah dan hijau. Melambangkan keceriaan dan keindahan alam, batik ini merupakan kekayaan budaya dari Garut, Jawa Barat.",batik-garutan,batik-garutan.jpg,batik garut,batik garut milik motif bunga  daun  burung warna cerah merah hijau  melambang ceria indah alam  batik kaya budaya garut  jawa barat 
Batik Gentongan,"Batik Gentongan memiliki motif bunga besar dengan warna mencolok seperti merah dan biru. Melambangkan keberanian dan keunikan budaya, batik ini khas dari Madura, Jawa Timur.",batik-gentongan,batik-gentongan.jpg,batik gentong,batik gentong milik motif bunga warna colok merah biru  melambang berani uni budaya  batik khas madura  jawa timur 
Batik Kawung,"Batik Kawung memiliki motif lingkaran geometris menyerupai irisan kolang-kaling, disusun secara simetris. Melambangkan kesucian dan keseimbangan, batik ini merupakan warisan budaya dari Jawa Tengah.",batik-kawung,batik-kawung.jpg,batik kawung,batik kawung milik motif lingkar geometris rupa iris kolang-kaling  susun simetris  melambang suci imbang  batik waris budaya jawa 
Batik Keraton,"Batik Keraton memiliki motif klasik seperti Parang dan Sawat dengan warna elegan seperti cokelat dan biru tua. Melambangkan keagungan dan kewibawaan, batik ini berasal dari keraton di Yogyakarta dan Surakarta.",batik-keraton,batik-keraton.jpg,batik keraton,batik keraton milik motif klasik parang sawat warna elegan cokelat biru tua  melambang agung wibawa  batik asal keraton yogyakarta surakarta 
Batik Lasem,"Batik Lasem didominasi warna merah cerah khas dengan pola flora dan fauna yang melambangkan keberanian dan harmoni. Batik ini mencerminkan akulturasi budaya Lasem, Jawa Tengah.",batik-lasem,batik-lasem.jpg,batik lasem,batik lasem dominasi warna merah cerah khas pola flora fauna melambang berani harmoni  batik cermin akulturasi budaya lasem  jawa 
Batik Megamendung,"Batik Megamendung memiliki motif awan bergradasi dengan warna biru, putih, atau merah. Melambangkan kesejukan dan ketenangan, batik ini merupakan warisan budaya dari Cirebon, Jawa Barat.",batik-megamendung,batik-megamendung.jpg,batik megamendung,batik megamendung milik motif awan gradasi warna biru  putih  merah  melambang sejuk tenang  batik waris budaya cirebon  jawa barat 
Batik Parang,"Batik Parang memiliki motif garis melengkung menyerupai ombak yang tersusun diagonal. Melambangkan perjuangan tanpa henti dan kekuatan, batik ini berasal dari keraton Yogyakarta dan Surakarta.",batik-parang,batik-parang.jpg,batik parang,batik parang milik motif garis lengkung rupa ombak susun diagonal  melambang juang henti kuat  batik asal keraton yogyakarta surakarta 
Batik Pekalongan,"Batik Pekalongan memiliki pola flora dan fauna dengan warna cerah dan detail halus. Melambangkan kreativitas dan keindahan alam, batik ini mencerminkan budaya pesisir Pekalongan, Jawa Tengah.",batik-pekalongan,batik-pekalongan.jpg,batik kalong,batik kalong milik pola flora fauna warna cerah detail halus  melambang kreativitas indah alam  batik cermin budaya pesisir kalong  jawa 
Batik Priangan,"Batik Priangan memiliki pola bunga kecil dan dedaunan dengan warna pastel seperti hijau dan merah muda. Melambangkan kelembutan dan kesederhanaan, batik ini khas Tasikmalaya, Jawa Barat.",batik-priangan,batik-priangan.jpg,batik priangan,batik priangan milik pola bunga dedaunan warna pastel hijau merah muda  melambang lembut sederhana  batik khas tasikmalaya  jawa barat 
Batik Sekar,"Batik Sekar memiliki pola bunga yang indah dan elegan dengan warna cerah seperti merah dan kuning. Melambangkan kebahagiaan dan keharmonisan hidup, batik ini banyak ditemukan di Jawa.",batik-sekar,batik-sekar.jpg,batik sekar,batik sekar milik pola bunga indah elegan warna cerah merah kuning  melambang bahagia harmonis hidup  batik temu jawa 
Batik Sidoluhur,"Batik Sidoluhur memiliki motif klasik dengan pola geometris yang anggun dan warna cokelat khas. Melambangkan harapan untuk kehidupan yang mulia, batik ini berasal dari Solo, Jawa Tengah.",batik-sidoluhur,batik-sidoluhur.jpg,batik sidoluhur,batik sidoluhur milik motif klasik pola geometris anggun warna cokelat khas  melambang harap hidup mulia  batik asal solo  jawa 
Batik Sidomukti,"Batik Sidomukti memiliki pola bunga dan geometris dengan warna dasar cokelat muda. Melambangkan kemakmuran dan kebahagiaan, batik ini berasal dari Yogyakarta dan Surakarta.",batik-sidomukti,batik-sidomukti.jpg,batik sidomukti,batik sidomukti milik pola bunga geometris warna dasar cokelat muda  melambang makmur bahagia  batik asal yogyakarta surakarta 
Batik Sogan,"Batik Sogan memiliki pola klasik dengan warna cokelat sogan khas dan motif flora. Melambangkan kebijaksanaan dan keluhuran, batik ini merupakan warisan budaya dari Solo, Jawa Tengah.",batik-sogan,batik-sogan.jpg,batik sogan,batik sogan milik pola klasik warna cokelat sogan khas motif flora  melambang bijaksana luhur  batik waris budaya solo  jawa 
Batik Tambal,"Batik Tambal memiliki pola tambalan kecil-kecil dengan motif beragam dan warna cerah. Melambangkan perbaikan dan harapan, batik ini berasal dari Jawa Tengah dan Yogyakarta.",batik-tambal,batik-tambal.jpg,batik tambal,batik tambal milik pola tambal kecil motif agam warna cerah  melambang baik harap  batik asal jawa yogyakarta 
